a	ˈeɪ
aa	ˈɑː
aaa	ˌeɪˌeɪˈeɪ
aaron	ˈɛɹən
ab	ˈæb
abc	ˌeɪbˌiːsˈiː
abilities	ɐbˈɪləɾiz
ability	ɐbˈɪləɾi
able	ˈeɪbəl
aboriginal	ˌæbɚɹˈɪdʒɪnəl
abortion	ɐbˈɔːɹʃən
about	ɐbˈaʊt
above	əbˈʌv
abroad	ɐbɹˈɔːd
abs	ˈæbz
absence	ˈæbsəns
absent	ˈæbsənt
absolute	ˈæbsəlˌuːt
absolutely	ˌæbsəlˈuːtli
abstract	ˈæbstɹækt
abstracts	ɐbstɹˈækts
abuse	ɐbjˈuːs
ac	ˌeɪsˈiː
academic	ˌækədˈɛmɪk
academy	ɐkˈædəmi
acc	ˈæk
accept	ɐksˈɛpt
acceptable	ɐksˈɛptəbəl
acceptance	ɐksˈɛptəns
accepted	ɐksˈɛptᵻd
access	ˈæksɛs
accessed	ˈæksɛst
accessibility	æksˌɛsəbˈɪlᵻɾi
accessible	æksˈɛsəbəl
accessing	ˈæksɛsɪŋ
accessories	ɐksˈɛsɚɹiz
accessory	ɐksˈɛsɚɹi
accident	ˈæksɪdənt
accidents	ˈæksɪdənts
accommodation	ɐkˌɑːmədˈeɪʃən
accommodations	ɐkˌɑːmədˈeɪʃənz
accompanied	ɐkˈʌmpənid
accomplished	ɐkˈɑːmplɪʃt
accordance	ɐkˈɔːɹdəns
according	ɐkˈɔːɹdɪŋ
accordingly	ɐkˈɔːɹdɪŋli
account	ɐkˈaʊnt
accountability	ɐkˌaʊntəbˈɪlᵻɾi
accounting	ɐkˈaʊntɪŋ
accounts	ɐkˈaʊnts
accredited	ɐkɹˈɛdɪɾᵻd
accuracy	ˈækjʊɹəsi
accurate	ˈækjʊɹət
accused	ɐkjˈuːzd
ace	ˈeɪs
acer	ˈeɪsɚ
achieve	ɐtʃˈiːv
achieved	ɐtʃˈiːvd
achievement	ɐtʃˈiːvmənt
achieving	ɐtʃˈiːvɪŋ
acid	ˈæsɪd
acids	ˈæsɪdz
acoustic	ɐkˈuːstɪk
acquire	ɐkwˈaɪɚ
acquired	ɐkwˈaɪɚd
acquisition	ɐkwɪsˈɪʃən
acres	ˈeɪkɚz
acrobat	ˈækɹəbˌæt
across	əkɹˈɑːs
act	ˈækt
acting	ˈæktɪŋ
action	ˈækʃən
actions	ˈækʃənz
activation	ˌæktɪvˈeɪʃən
active	ˈæktɪv
actively	ˈæktɪvli
activities	æktˈɪvᵻɾiz
activity	æktˈɪvᵻɾi
actor	ˈæktɚ
actors	ˈæktɚz
acts	ˈækts
actual	ˈæktʃuːəl
actually	ˈæktʃuːəli
acute	ɐkjˈuːt
ad	ˈæd
adam	ˈædəm
adams	ˈædəmz
adapter	ɐdˈæptɚ
adapters	ɐdˈæptɚz
add	ˈæd
added	ˈædᵻd
addiction	ɐdˈɪkʃən
adding	ˈædɪŋ
addition	ɐdˈɪʃən
additional	ɐdˈɪʃənəl
additionally	ɐdˈɪʃənəli
additions	ɐdˈɪʃənz
address	ɐdɹˈɛs
addressed	ɐdɹˈɛst
addresses	ɐdɹˈɛsᵻz
addressing	ɐdɹˈɛsɪŋ
adds	ˈædz
adelaide	ˈædəlˌeɪd
adequate	ˈædɪkwət
adidas	ˈædɪdəz
adipex	ˈædaɪpˌɛks
adjacent	ɐdʒˈeɪsənt
adjust	ɐdʒˈʌst
adjustable	ɐdʒˈʌstəbəl
adjusted	ɐdʒˈʌstᵻd
adjustment	ɐdʒˈʌstmənt
admin	ˈædmɪn
administered	ɐdmˈɪnɪstɚd
administration	ɐdmˌɪnɪstɹˈeɪʃən
administrative	ɐdmˈɪnɪstɹˌeɪɾɪv
administrator	ɐdmˈɪnɪstɹˌeɪɾɚ
administrators	ɐdmˈɪnɪstɹˌeɪɾɚz
admission	ɐdmˈɪʃən
admissions	ɐdmˈɪʃənz
admit	ɐdmˈɪt
admitted	ɐdmˈɪɾᵻd
adobe	ɐdˈoʊbi
adopt	ɐdˈɑːpt
adopted	ɐdˈɑːptᵻd
adoption	ɐdˈɑːpʃən
ads	ˈædz
adult	ɐdˈʌlt
adults	ɐdˈʌlts
advance	ɐdvˈæns
advanced	ɐdvˈænst
advances	ɐdvˈænsᵻz
advantage	ɐdvˈæntɪdʒ
advantages	ɐdvˈæntɪdʒᵻz
adventure	ɐdvˈɛntʃɚ
adventures	ɐdvˈɛntʃɚz
adverse	ædvˈɜːs
advertise	ˈædvɚtˌaɪz
advertisement	ˌædvɚtˈaɪzmənt
advertisements	ˈædvɚtˌaɪzmənts
advertiser	ˈædvɚtˌaɪzɚ
advertisers	ˈædvɚtˌaɪzɚz
advertising	ˈædvɚtˌaɪzɪŋ
advice	ɐdvˈaɪs
advise	ɐdvˈaɪz
advised	ɐdvˈaɪzd
advisor	ɐdvˈaɪzɚ
advisory	ɐdvˈaɪzɚɹi
advocacy	ˈædvəkəsi
advocate	ˈædvəkˌeɪt
ae	ˌeɪˈiː
af	ˈæf
affairs	ɐfˈɛɹz
affect	ɐfˈɛkt
affected	ɐfˈɛktᵻd
affecting	ɐfˈɛktɪŋ
affects	ɐfˈɛkts
affiliate	ɐfˈɪlɪˌeɪt
affiliated	ɐfˈɪlɪˌeɪɾᵻd
affiliates	ɐfˈɪlɪˌeɪts
afford	ɐfˈɔːɹd
affordable	ɐfˈɔːɹdəbəl
afghanistan	æfɡˈænɪstˌæn
afraid	ɐfɹˈeɪd
africa	ˈæfɹɪkə
african	ˈæfɹɪkən
after	ˈæftɚ
afternoon	ˌæftɚnˈuːn
ag	ˈæɡ
again	ɐɡˈɛn
against	ɐɡˈɛnst
age	ˈeɪdʒ
aged	ˈeɪdʒd
agencies	ˈeɪdʒənsiz
agency	ˈeɪdʒənsi
agenda	ɐdʒˈɛndə
agent	ˈeɪdʒənt
agents	ˈeɪdʒənts
ages	ˈeɪdʒᵻz
aggregate	ˈæɡɹɪɡˌeɪt
aggressive	ɐɡɹˈɛsɪv
aging	ˈeɪdʒɪŋ
ago	ɐɡˈoʊ
agree	ɐɡɹˈiː
agreed	ɐɡɹˈiːd
agreement	ɐɡɹˈiːmənt
agreements	ɐɡɹˈiːmənts
agrees	ɐɡɹˈiːz
agricultural	ˌæɡɹɪkˈʌltʃɚɹəl
agriculture	ˈæɡɹɪkˌʌltʃɚ
ah	ˈɑː
ahead	ɐhˈɛd
ai	ˌeɪˈaɪ
aid	ˈeɪd
aids	ˈeɪdz
aim	ˈeɪm
aimed	ˈeɪmd
aims	ˈeɪmz
air	ˈɛɹ
aircraft	ˈɛɹkɹæft
airfare	ˈɛɹfɛɹ
airline	ˈɛɹlaɪn
airlines	ˈɛɹlaɪnz
airport	ˈɛɹpɔːɹt
airports	ˈɛɹpɔːɹts
aj	ˈædʒ
ak	ˈæk
aka	ˈækɐ
al	ˈæl
alabama	ˌæləbˈæmə
alan	ˈælən
alarm	ɐlˈɑːɹm
alaska	ɐlˈæskə
albany	ˈɔːlbəni
albert	ˈælbɚt
